#  Space group look-up table taken from R. Grosse Kunstleve web-site
#  Modified LJF - Jan 1998
#
# No.   Schoenflies <------ Hermann-Mauguin -----> Hall           Mult
#    set
  15:-a3    C2h^6   I2/b:-a3 = I2/b11   I 2/b 1 1  -I 2xb           8
  16        D2^1    P222                P 2 2 2     P 2 2           4
  17        D2^2    P2221               P 2 2 21    P 2c 2          4
  17:cab    D2^2    P2122               P 21 2 2    P 2a 2a         4
  17:bca    D2^2    P2212               P 2 21 2    P 2 2b          4
  18        D2^3    P21212              P 21 21 2   P 2 2ab         4
  18:cab    D2^3    P22121              P 2 21 21   P 2bc 2         4
  18:bca    D2^3    P21221              P 21 2 21   P 2ac 2ac       4
  19        D2^4    P212121             P 21 21 21  P 2ac 2ab       4
  20        D2^5    C2221               C 2 2 21    C 2c 2          8
  20:cab    D2^5    A2122               A 21 2 2    A 2a 2a         8
  20:bca    D2^5    B2212               B 2 21 2    B 2 2b          8
  21        D2^6    C222                C 2 2 2     C 2 2           8
  21:cab    D2^6    A222                A 2 2 2     A 2 2           8
  21:bca    D2^6    B222                B 2 2 2     B 2 2           8
  22        D2^7    F222                F 2 2 2     F 2 2           16
  23        D2^8    I222                I 2 2 2     I 2 2           8
  24        D2^9    I212121             I 21 21 21  I 2b 2c         8
  25        C2v^1   Pmm2                P m m 2     P 2 -2          4
  25:cab    C2v^1   P2mm                P 2 m m     P -2 2          4
  25:bca    C2v^1   Pm2m                P m 2 m     P -2 -2         4
  26        C2v^2   Pmc21               P m c 21    P 2c -2         4
  26:ba-c   C2v^2   Pcm21               P c m 21    P 2c -2c        4
  26:cab    C2v^2   P21ma               P 21 m a    P -2a 2a        4
  26:-cba   C2v^2   P21am               P 21 a m    P -2 2a         4
  26:bca    C2v^2   Pb21m               P b 21 m    P -2 -2b        4
  26:a-cb   C2v^2   Pm21b               P m 21 b    P -2b -2        4
  27        C2v^3   Pcc2                P c c 2     P 2 -2c         4
  27:cab    C2v^3   P2aa                P 2 a a     P -2a 2         4
  27:bca    C2v^3   Pb2b                P b 2 b     P -2b -2b       4
  28        C2v^4   Pma2                P m a 2     P 2 -2a         4
  28:ba-c   C2v^4   Pbm2                P b m 2     P 2 -2b         4
  28:cab    C2v^4   P2mb                P 2 m b     P -2b 2         4
  28:-cba   C2v^4   P2cm                P 2 c m     P -2c 2         4
  28:bca    C2v^4   Pc2m                P c 2 m     P -2c -2c       4
  28:a-cb   C2v^4   Pm2a                P m 2 a     P -2a -2a       4
  29        C2v^5   Pca21               P c a 21    P 2c -2ac       4
  29:ba-c   C2v^5   Pbc21               P b c 21    P 2c -2b        4
  29:cab    C2v^5   P21ab               P 21 a b    P -2b 2a        4
  29:-cba   C2v^5   P21ca               P 21 c a    P -2ac 2a       4
  29:bca    C2v^5   Pc21b               P c 21 b    P -2bc -2c      4
  29:a-cb   C2v^5   Pb21a               P b 21 a    P -2a -2ab      4
  30        C2v^6   Pnc2                P n c 2     P 2 -2bc        4
  30:ba-c   C2v^6   Pcn2                P c n 2     P 2 -2ac        4
  30:cab    C2v^6   P2na                P 2 n a     P -2ac 2        4
  30:-cba   C2v^6   P2an                P 2 a n     P -2ab 2        4
  30:bca    C2v^6   Pb2n                P b 2 n     P -2ab -2ab     4
  30:a-cb   C2v^6   Pn2b                P n 2 b     P -2bc -2bc     4
  31        C2v^7   Pmn21               P m n 21    P 2ac -2        4
  31:ba-c   C2v^7   Pnm21               P n m 21    P 2bc -2bc      4
  31:cab    C2v^7   P21mn               P 21 m n    P -2ab 2ab      4
  31:-cba   C2v^7   P21nm               P 21 n m    P -2 2ac        4
  31:bca    C2v^7   Pn21m               P n 21 m    P -2 -2bc       4
  31:a-cb   C2v^7   Pm21n               P m 21 n    P -2ab -2       4
  32        C2v^8   Pba2                P b a 2     P 2 -2ab        4
  32:cab    C2v^8   P2cb                P 2 c b     P -2bc 2        4
  32:bca    C2v^8   Pc2a                P c 2 a     P -2ac -2ac     4
  33        C2v^9   Pna21               P n a 21    P 2c -2n        4
  33:ba-c   C2v^9   Pbn21               P b n 21    P 2c -2ab       4
  33:cab    C2v^9   P21nb               P 21 n b    P -2bc 2a       4
  33:-cba   C2v^9   P21cn               P 21 c n    P -2n 2a        4
  33:bca    C2v^9   Pc21n               P c 21 n    P -2n -2ac      4
  33:a-cb   C2v^9   Pn21a               P n 21 a    P -2ac -2n      4
  34        C2v^10  Pnn2                P n n 2     P 2 -2n         4
  34:cab    C2v^10  P2nn                P 2 n n     P -2n 2         4
  34:bca    C2v^10  Pn2n                P n 2 n     P -2n -2n       4
